This is the 1st order approximation for f1(x) (h, approx, abs_err, rel err):
0.1, 2.1, 0.1, 0.05
0.01, 2.01, 0.01, 0.005
0.001, 2.001, 0.001, 0.0005
0.0001, 2.0001, 0.0001, 5e-05
1e-05, 2.00001, 1e-05, 5.00001e-06
1e-06, 2, 9.99924e-07, 4.99962e-07
1e-07, 2, 1.01088e-07, 5.05439e-08
1e-08, 2, 1.21549e-08, 6.07747e-09
1e-09, 2, 1.65481e-07, 8.27404e-08
1e-10, 2, 1.65481e-07, 8.27404e-08
1e-11, 2, 1.65481e-07, 8.27404e-08
1e-12, 2.00018, 0.000177801, 8.89006e-05
1e-13, 1.9984, 0.00159856, 0.000799278
1e-14, 1.9984, 0.00159856, 0.000799278
1e-15, 2.22045, 0.220446, 0.110223
1e-16, 0, 2, 1
1e-17, 0, 2, 1
1e-18, 0, 2, 1

This is the 1st order approximation for f2(x) (h, approx, rel err):
0.1, 2.1, 0.0999999, 0.05
0.01, 2.01, 0.00999975, 0.00499988
0.001, 2.001, 0.00100243, 0.000501215
0.0001, 2.00003, 3.38554e-05, 1.69277e-05
1e-05, 1.99974, 0.000264168, 0.000132084
1e-06, 1.99676, 0.0032444, 0.0016222
1e-07, 1.93715, 0.062849, 0.0314245
1e-08, 1.49012, 0.509884, 0.254942
1e-09, 0, 2, 1
1e-10, 0, 2, 1
1e-11, 0, 2, 1
1e-12, 0, 2, 1
1e-13, 0, 2, 1
1e-14, 0, 2, 1
1e-15, 0, 2, 1
1e-16, 0, 2, 1
1e-17, 0, 2, 1
1e-18, 0, 2, 1

This is the 2nd order approximation for f1(x) (h, approx, rel err):
0.1, 2, 4.44089e-16, 2.22045e-16
0.01, 2, 1.77636e-15, 8.88178e-16
0.001, 2, 1.64757e-13, 8.23785e-14
0.0001, 2, 7.7538e-13, 3.8769e-13
1e-05, 2, 2.00018e-12, 1.00009e-12
1e-06, 2, 2.00018e-12, 1.00009e-12
1e-07, 2, 5.75113e-11, 2.87557e-11
1e-08, 2, 6.60383e-09, 3.30191e-09
1e-09, 2, 5.44584e-08, 2.72292e-08
1e-10, 2, 1.65481e-07, 8.27404e-08
1e-11, 2, 1.65481e-07, 8.27404e-08
1e-12, 2.00007, 6.67789e-05, 3.33894e-05
1e-13, 1.99951, 0.000488333, 0.000244166
1e-14, 1.9984, 0.00159856, 0.000799278
1e-15, 2.10942, 0.109424, 0.0547119
1e-16, 1.11022, 0.889777, 0.444888
1e-17, 0, 2, 1
1e-18, 0, 2, 1

This is the 2nd order approximation for f2(x) (h, approx, rel err): 
0.1, 2, 4.47035e-08, 2.23517e-08
0.01, 2, 4.17233e-07, 2.08616e-07
0.001, 2, 4.05312e-06, 2.02656e-06
0.0001, 1.99996, 4.06504e-05, 2.03252e-05
1e-05, 1.99974, 0.000264168, 0.000132084
1e-06, 1.99676, 0.0032444, 0.0016222
1e-07, 1.93715, 0.062849, 0.0314245
1e-08, 1.49012, 0.509884, 0.254942
1e-09, 0, 2, 1
1e-10, 0, 2, 1
1e-11, 0, 2, 1
1e-12, 0, 2, 1
1e-13, 0, 2, 1
1e-14, 0, 2, 1
1e-15, 0, 2, 1
1e-16, 0, 2, 1
1e-17, 0, 2, 1
1e-18, 0, 2, 1
